Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
27013636,IES María Sarmiento,Rúa Misericordia 58,Viveiro,Lugo,27850,982870916,IES,43.66780090332031,-7.601391315460205,Pública,Non,Si
27013648,IES Vilar Ponte,Rúa Antonio Ledesma 20,Viveiro,Lugo,27850,982870901,IES,43.66725158691406,-7.600479125976563,Pública,Non,Si
27013673,CEIP de Casás,Rúa Orquidea 63,Lugo,Lugo,27004,982870483,CEIP,43.01394271850586,-7.574167728424072,Pública,Non,Si
27013697,CEIP Plurilingüe Eloísa Rivadulla,Avenida de Monforte s/n,Chantada,Lugo,27500,982828133,CEIP,42.6080207824707,-7.759098529815674,Pública,Non,Si
27013703,CEIP de Quiroga,Rúa Río Lor,Quiroga,Lugo,27320,982828237,CEIP,42.47393798828125,-7.26756763458252,Pública,Non,Si
27013855,CPR Radio ECCA,Garaballa de Arriba s/n,Lugo,Lugo,27003,982210602,CPR,43.02993392944336,-7.563571929931641,Privada,Non,Non
27013922,CEIP Plurilingüe do Castro de Ouro,A Seara s/n,Alfoz,Lugo,27776,982870048,CEIP,43.52701950073242,-7.419183254241943,Pública,Non,Si
27013934,IES Perdouro,Rúa do Instituto s/n,Burela,Lugo,27880,982870102,IES,43.652076721191406,-7.356934547424316,Pública,Non,Si
27013958,IES Monte Castelo,Rúa do Ril s/n,Burela,Lugo,27880,982828241,IES,43.651363372802734,-7.356709003448486,Pública,Non,Si
27014008,CPI Plurilingüe Tino Grandío,Estrada Guntín s/n,Guntín,Lugo,27211,982870363,CPI,42.885589599609375,-7.696485996246338,Pública,Non,Si
27014033,EEI Fingoi nº 2,Travesa Rua Erin 7,Lugo,Lugo,27002,982870460,EEI,43.00078582763672,-7.549517154693604,Pública,Non,Si
27014057,CEE Santa María,Rúa Da Luz 1,Lugo,Lugo,27002,982829220,CEE,42.995704650878906,-7.546416759490967,Pública,Non,Si
27014070,CEIP Plurilingüe de Palas de Rei,Rúa Ourense s/n,Palas de Rei,Lugo,27200,982870628,CEIP,42.86856460571289,-7.866470336914063,Pública,Non,Si
27014082,EEI Xela Arias,Rúa Marques de Ugena,Sarria,Lugo,27600,982530047,EEI,42.77970886230469,-7.415613174438477,Pública,Non,Si
27014094,EEI de Vilalba,Rúa Quart de Poblet s/n,Vilalba,Lugo,27800,982828155,EEI,43.292816162109375,-7.684292793273926,Pública,Non,Si
27014100,EEI San Roque,Rúa Benito Galceran 26/28,Viveiro,Lugo,27850,982870957,EEI,43.66462707519531,-7.593338966369629,Pública,Non,Si
27014240,CEIP de Samos,Samos (Santa Xertrude),Samos,Lugo,27620,982828259,CEIP,42.736385345458984,-7.325171947479248,Pública,Non,Si
27014665,CEIP Luís Pimentel,Rúa Gallego Tato (xornalista) 5,Lugo,Lugo,27003,982212469,CEIP,43.02534484863281,-7.571846008300781,Pública,Non,Si
27014793,CEIP Paradai,Rúa Alexandre Boveda s/n,Lugo,Lugo,27003,982870429,CEIP,43.022525787353516,-7.559312343597412,Pública,Non,Si
27014811,IES Plurilingüe Fontem Albei,Rúa Marmoiral s/n,A Fonsagrada,Lugo,27100,982828263,IES,43.13230895996094,-7.066268920898438,Pública,Non,Si
27014847,CEIP Plurilingüe do Corgo,Estrada Nacional VI s/n,O Corgo,Lugo,27163,982829215,CEIP,42.936805725097656,-7.409248352050781,Pública,Non,Si
27014859,CEIP Plurilingüe de Xermade,Avenida das Pontes s/n,Xermade,Lugo,27833,982870970,CEIP,43.3565788269043,-7.81452751159668,Pública,Non,Si
27014860,CEIP Plurilingüe A Gándara,Avenida Mª PAZ DE TOR s/n,Monforte de Lemos,Lugo,27400,982870563,CEIP,42.531246185302734,-7.532973289489746,Pública,Non,Si
27015189,IES de Quiroga,Rúa Pereiro s/n,Quiroga,Lugo,27320,982828274,IES,42.47378921508789,-7.269232749938965,Pública,Non,Si
27015301,CEIP de Cervo,"Lugar PEDROUZO, S/N (CERVO)",Cervo,Lugo,27891,982870207,CEIP,43.67165756225586,-7.413186073303223,Pública,Non,Si
27015311,IES A Pinguela,Estrada de Sober s/n,Monforte de Lemos,Lugo,27400,982828051,IES,42.51195526123047,-7.525854587554932,Pública,Non,Si
27015360,CEE Infanta Elena,Rúa Camiño Real s/n,Monforte de Lemos,Lugo,27400,982403303,CEE,42.53284454345703,-7.531664371490479,Pública,Non,Si
27015724,CEIP Monseivane,Lugar Lanzós (San Martiño),Vilalba,Lugo,27816,982870895,CEIP,43.36537551879883,-7.635841369628906,Pública,Non,Si
27015751,CEIP Plurilingüe Vista Alegre,Rúa Maestro Don Camilo s/n,Burela,Lugo,27880,982870116,CEIP,43.650089263916016,-7.355915069580078,Pública,Non,Si
27015761,IES Ánxel Fole,Rúa Angelo Colocci s/n,Lugo,Lugo,27003,982870991,IES,43.02421188354492,-7.570755004882813,Pública,Non,Si
27015773,IES Muralla Romana,"Rúa Angelo Colocci, s/n",Lugo,Lugo,27003,982828081,IES,43.02405548095703,-7.571199893951416,Pública,Non,Si
27015785,CEIP de Currelos,Vilaesteva (San Salvador),O Saviñao,Lugo,27547,982828284,CEIP,42.67747497558594,-7.644188404083252,Pública,Non,Si
27015827,CEIP Terra Chá,Román (Santalla),Vilalba,Lugo,27841,982511402,CEIP,43.294822692871094,-7.57531213760376,Pública,Non,Si
27015876,CEIP Antía Cal Vázquez,Rúa Margarida s/n,Muras,Lugo,27836,982870596,CEIP,43.46885681152344,-7.724544525146484,Pública,Non,Si
27015891,"IES da Terra Chá, José Trapero Pardo","Avenida da Terra Cha, s/n (Castro)",Castro de Rei,Lugo,27260,982870144,IES,43.14706039428711,-7.490626335144043,Pública,Non,Si
27015955,EOI de Lugo,Ronda Xosé Castiñeiras 1,Lugo,Lugo,27002,982829230,EOI,42.999969482421875,-7.545762062072754,Pública,Non,Si
27015967,CPI Uxío Novoneira,Estrada de Cervantes s/n,Pedrafita do Cebreiro,Lugo,27670,982870633,CPI,42.7286262512207,-7.023032665252686,Pública,Non,Si
27015979,CEIP Eduardo Cela Vila,Rúa do Castro s/n,Triacastela,Lugo,27630,982828289,CEIP,42.75799560546875,-7.237636089324951,Pública,Non,Si
27016170,CEIP Plurilingüe Santa Rita,Lugar Trabe s/n,Viveiro,Lugo,27867,982870937,CEIP,43.63214874267578,-7.614185333251953,Pública,Non,Si
27016200,IES Poeta Díaz Castro,"Rúa Xermade, s/n (Guitiriz)",Guitiriz,Lugo,27300,982870342,IES,43.18649673461914,-7.898904323577881,Pública,Non,Si
27016224,CEIP de San Cosme,Covas 96,Barreiros,Lugo,27790,982870081,CEIP,43.54313659667969,-7.234904766082764,Pública,Non,Si
27016248,IES de Monterroso,Rúa Salvador Arotzarena,Monterroso,Lugo,27560,982870573,IES,42.797298431396484,-7.834185600280762,Pública,Non,Si
27016251,CMUS Profesional de  Vilalba,Rúa As Pedreiras s/n,Vilalba,Lugo,27800,982512888,CMUS,43.29926681518555,-7.682790756225586,Pública,Non,Non
27016261,CEMU Profesional  Adagio,Campo da Compañía 50,Monforte de Lemos,Lugo,27400,982400677,CEMU,42.517906188964844,-7.516989231109619,Privada,Non,Non
27016285,CMUS Profesional de Viveiro,Rúa da Marina s/n,Viveiro,Lugo,27850,982560486,CMUS,43.66059875488281,-7.597228527069092,Pública,Non,Non
27016297,IES Enrique Muruais,Zona escolar s/n,A Pontenova,Lugo,27720,982870033,IES,43.354156494140625,-7.192997932434082,Pública,Non,Si
27016303,IES Pedregal de Irimia,Rúa Federico González López s/n,Meira,Lugo,27240,982870520,IES,43.21510696411133,-7.295834064483643,Pública,Non,Si
27016315,IES de Becerreá,Rúa Castelo s/n,Becerreá,Lugo,27640,982828292,IES,42.85881423950195,-7.16605806350708,Pública,Non,Si
27016352,IES do Camiño,Praza Ulloa s/n,Palas de Rei,Lugo,27200,982870619,IES,42.86912155151367,-7.867364406585693,Pública,Non,Si
27016388,CEIP Plurilingüe de Muimenta,Rúa Valmaior s/n,Cospeito,Lugo,27377,982870273,CEIP,43.25172805786133,-7.430649757385254,Pública,Non,Si
27016391,CEIP O Cantel,Rúa Pintor Laxeiro s/n,Foz,Lugo,27780,982870314,CEIP,43.57324981689453,-7.258272171020508,Pública,Non,Si
27016406,CEIP Plurilingüe de Covas,Rúa Granxas s/n,Viveiro,Lugo,27868,982870948,CEIP,43.6685791015625,-7.609335899353027,Pública,Non,Si
27016421,EOI de Monforte de Lemos,Rúa Calvo Sotelo 65,Monforte de Lemos,Lugo,27400,982828991,EOI,42.525272369384766,-7.505496501922607,Pública,Non,Si
27016431,CPR Dobao Imagen,Ronda das Fontiñas 222,Lugo,Lugo,27002,982240314,CPR,43.005069732666016,-7.54737663269043,Privada,Non,Non
27016455,IES Sanxillao,Avenida DAS FONTIÑAS 171,Lugo,Lugo,27002,982828088,IES,43.004913330078125,-7.5465989112854,Pública,Non,Si
27016467,CEIP Menéndez Pelayo,Rúa Serra de Outes s/n,Lugo,Lugo,27004,982870452,CEIP,43.01547622680664,-7.570494174957275,Pública,Non,Si
27016492,CEIP Plurilingüe do Páramo,Zona O Paramo S/N,O Páramo,Lugo,27363,982828305,CEIP,42.84402084350586,-7.497518539428711,Pública,Non,Si
27016509,IES Marqués de Sargadelos,Rúa A Veiga (San Cibrao) s/n,Cervo,Lugo,27890,982870193,IES,43.691436767578125,-7.437647819519043,Pública,Non,Si
27016546,ESMU Municipal de Ribadeo,Rúa CLEMENTE MARTINEZ PASARON 10,Ribadeo,Lugo,27700,982130856,ESMU,43.5346794128418,-7.040366649627686,Pública,Non,Non
27016558,CMUS Profesional Xoán Montes,Rúa Castiñeira 5,Lugo,Lugo,27002,982250563,CMUS,42.999420166015625,-7.546834945678711,Pública,Non,Si
27016561,EMUSPR de Antas de Ulla,Rúa Miguel Angel Blanco 16,Antas de Ulla,Lugo,27570,982379057,EMUSPR,42.784236907958984,-7.889792919158936,Privada,Non,Non
27016571,ESMU Municipal de Foz,Avenida da Ribeira s/n,Foz,Lugo,27780,604032350,ESMU,43.569313049316406,-7.255801677703857,Pública,Non,Non
27016595,ESMU Municipal de Monforte de Lemos,Praza de España 3,Monforte de Lemos,Lugo,27400,982402498,ESMU,42.52815246582031,-7.511809349060059,Pública,Non,Non
27016601,ESMU Municipal O Barrido,Avenida do Generalisimo s/n,Paradela,Lugo,27611,982541101,ESMU,42.76681137084961,-7.567829132080078,Pública,Non,Non
27016613,IES Río Miño,Rúa Rosalia de Castro s/n,Rábade,Lugo,27370,982870652,IES,43.122745513916016,-7.630608081817627,Pública,Non,Si
27016625,IES Illa de Sarón,Rúa Agramonte,Xove,Lugo,27870,982870973,IES,43.686397552490234,-7.503292083740234,Pública,Non,Si
27016637,ESMU Municipal de Sober,Praza do Concello s/n - Casa da Cultura,Sober,Lugo,27460,982460513,ESMU,42.462257385253906,-7.586627960205078,Pública,Non,Non
27016649,IES Alfoz - Valadouro,Estr. Mondoñedo-Ferreira do Valadouro,Alfoz,Lugo,27774,982870051,IES,43.54344940185547,-7.422407150268555,Pública,Non,Si
27016662,CEIP Plurilingüe de Monforte de Lemos,Rúa Emilia Casas Baamonde s/n,Monforte de Lemos,Lugo,27400,982828310,CEIP,42.5282096862793,-7.511571884155273,Pública,Non,Si
27016674,CEP Luís Tobío,Avenida Martin Ledesma s/n,Viveiro,Lugo,27850,982870942,CEP,43.66426086425781,-7.600157260894775,Pública,Non,Si
27016704,IES Leiras Pulpeiro,Rúa Orquídea 45,Lugo,Lugo,27004,982870419,IES,43.01292419433594,-7.574043273925781,Pública,Non,Si
27016716,IES Fonmiñá,Avenida Doutor Cabaneiro s/n,A Pastoriza,Lugo,27287,982870015,IES,43.29894256591797,-7.339291095733643,Pública,Non,Si
27016728,CEIP Illa Verde,Rúa Roi Xordo 2,Lugo,Lugo,27002,982828143,CEIP,43.00032043457031,-7.550976276397705,Pública,Non,Si
27016731,ESMU Municipal de Burela,Rúa DO CANCELO 33,Burela,Lugo,27880,982580720,ESMU,43.65898513793945,-7.363189697265625,Pública,Non,Non
27020513,CMUS Profesional Mestre Ibáñez,Monforte de Lemos,Monforte de Lemos,Lugo,27400,982403893,CMUS,42.52815246582031,-7.511775016784668,Pública,Non,Non
27020525,ESMU Municipal de Sarria,"Rúa  Marqués de Ugena, s/n - Casa da cultura 00",Sarria,Lugo,27600,,ESMU,42.77995681762695,-7.416459083557129,Pública,Non,Non
27020549,ESMU Municipal de Ribas de Sil,"Rúa  Colexios, s/n 00",Ribas de Sil,Lugo,27310,982428237,ESMU,42.46696853637695,-7.287137031555176,Pública,Non,Non
27020550,ESMU Municipal O Pallarego,"Praza DO CONCELLO, CASA DO CONCELLO",Mondoñedo,Lugo,27740,982521901,ESMU,43.42963790893555,-7.364047527313232,Pública,Non,Non
27020562,IES de Foz,Rúa Castelao s/n,Foz,Lugo,27780,982870287,IES,43.56511688232422,-7.267745494842529,Pública,Non,Si
27020586,CPR Galén,Calzada XIÁN 8,Lugo,Lugo,27296,982265205,CPR,43.02090072631836,-7.585469722747803,Privada,Non,Non
27020598,CEMU Profesional Fingoi,"Avenida  Aviación Española, 37 00",Lugo,Lugo,27003,982221630,CEMU,42.998226165771484,-7.553926944732666,Privada,Non,Non
27020604,EMUSPR Cantarela,Rúa Xian s/n,Lugo,Lugo,27003,982652061,EMUSPR,43.02079391479492,-7.585630416870117,Privada,Non,Non
27020616,CPR Attelier,"Rúa  Concepción Arenal, 18 - baixo",Lugo,Lugo,27004,982227854,CPR,43.01536178588867,-7.560254573822022,Privada,Non,Non
27020628,EOI de Viveiro Luz Pozo Garza,"Rúa  Lavandeira, s/n - 1º",Viveiro,Lugo,27863,982551745,EOI,43.67628479003906,-7.589986324310303,Pública,Non,Si
27020677,CPR Dioptra,"Praza Conde Fontao, 4 - baixo",Lugo,Lugo,27003,982284361,CPR,43.01496124267578,-7.552564144134522,Privada,Non,Non
27020689,ESMU Municipal  da Pastoriza,Pastoriza (O Salvador),A Pastoriza,Lugo,27287,982332200,ESMU,43.30155563354492,-7.349317073822022,Pública,Non,Non
27020690,EOI de Ribadeo,Casa Casa do Óptico,Ribadeo,Lugo,27700,982129657,EOI,43.53823471069336,-7.050175666809082,Pública,Non,Si
27020707,CDAN Conservatorio Profesional de Danza,Rúa Músico Xosé Castiñeira 3,Lugo,Lugo,27002,982284704,CDAN,42.999752044677734,-7.546255588531494,Pública,Non,Si
27020744,CEMU Galén,Rúa XIAN 8,Lugo,Lugo,27003,,CEMU,43.021026611328125,-7.585630416870117,Privada,Non,Non
27020756,CPR TIC,Rúa Frei Plácido Rey Lemos s/n,Lugo,Lugo,27004,982284667,CPR,43.00704574584961,-7.560658931732178,Privada,Non,Non
27020771,ESMU Municipal de Meira,Rúa AGRA s/n,Meira,Lugo,27240,,ESMU,43.21452713012695,-7.295887470245361,Pública,Non,Non
27020781,ESMU Municipal de Taboada,Avenida DE LUGO 59,Taboada,Lugo,27550,,ESMU,42.71725082397461,-7.762924671173096,Pública,Non,Non
27020793,CIFP Porta da Auga,Avenida LUARCA,Ribadeo,Lugo,27700,982128894,CIFP,43.53567123413086,-7.051162719726563,Pública,Non,Si
27020801,CEIP Plurilingüe de Monterroso,Barrio dos Piñeiros 9,Monterroso,Lugo,27560,982377180,CEIP,42.79954528808594,-7.831264495849609,Pública,Non,Si
27020811,EPAPU de Bonxe,Lugar de Bonxe,Outeiro de Rei,Lugo,27153,982393218,EPAPU,43.10353469848633,-7.581596374511719,Pública,Non,Si
27020823,EPAPU de Monterroso,Estrada de Vegadeo-Pontevedra,Monterroso,Lugo,27568,982377043,EPAPU,42.810279846191406,-7.771346569061279,Pública,Non,Si
27020835,ESMU de Pontenova,Rúa Estación,A Pontenova,Lugo,27720,-,ESMU,43.34823226928711,-7.19130277633667,Pública,Non,Non
27020847,ESMU Municipal de Pobra de Brollón,Avenida OUTEIRO s/n,A Pobra do Brollón,Lugo,27330,980430061,ESMU,42.5496711730957,-7.394438743591309,Pública,Non,Non
27020859,CEIP Península da Paz,Estrada Río Covo s/n,Cervo,Lugo,27890,982829250,CEIP,43.689659118652344,-7.441702842712402,Pública,Non,Si
27020860,CPR Waldorf Meniñeiros,Rúa Donas,Friol,Lugo,27299,687500624,CPR,43.018821716308594,-7.713668346405029,Privada,Non,Non
27020872,ESMU Municipal de Xove,Camiño Real,Xove,Lugo,27870,982592001,ESMU,43.685935974121094,-7.509090900421143,Pública,Non,Non
27020884,EMUSPR Fábrica de Sons,Rúa Paxariños 45 Baixo,Lugo,Lugo,27002,,EMUSPR,43.010032653808594,-7.550217151641846,Privada,Non,Non
27020896,ESMU Municipal de Rábade,Rúa Alcalde José Penas s/n,Rábade,Lugo,27370,,ESMU,43.12071990966797,-7.622354984283447,Pública,Non,Non
27020902,IES de Ribadeo Dionisio Gamallo,Avenida América 1,Ribadeo,Lugo,27700,982870666,IES,43.53745651245117,-7.051280975341797,Pública,Non,Si
27020914,CPR Paso a Paso Formación,Rúa Montero Ríos 86 Baixo,Lugo,Lugo,27002,982062062,CPR,43.003787994384766,-7.547500133514404,Privada,Non,Non
27020926,CAD Tándem,Avenida Cervantes s/n,Viveiro,Lugo,27850,677015620,CAD,43.66305160522461,-7.59447193145752,Privada,Non,Non
27020938,ESMU Municipal de Lugo,Rúa Quiroga Ballesteros s/n 1º andar,Lugo,Lugo,27001,,ESMU,43.01231384277344,-7.558372020721436,Pública,Non,Non
27020941,ESMU Municipal de Monterroso,Rúa Poeta Lorenzo Varela s/n,Monterroso,Lugo,27560,,ESMU,42.794368743896484,-7.833791732788086,Pública,Non,Non
27020951,ESMU Municipal de Begonte,Avenida de Galicia 104,Begonte,Lugo,27373,,ESMU,43.15231704711914,-7.68811559677124,Pública,Non,Non
27020963,ESMU Municipal de Outeiro de Rei,Lugar Penelas 16,Outeiro de Rei,Lugo,27154,,ESMU,43.090328216552734,-7.601190567016602,Pública,Non,Non
27020975,EMUSPR Casa da Música de Chantada,Praza de Galicia 1,Chantada,Lugo,27500,,EMUSPR,0.0,0.0,Privada,Non,Non
27020987,CAD Drocer,Calzada Xián 8,Lugo,Lugo,27003,,CAD,43.02151870727539,-7.581664085388184,Privada,Non,Non
27020999,CPR A Mariña,Avenida Arcadio Pardiñas 44,Burela,Lugo,27880,,CPR,43.660905931768276,-7.36270934343338,Privada,Non,Non
27021001,CPR Fundación Laboral de la Construcción,Lugar San Xoán do Alto s/n,Lugo,Lugo,27232,982254578,CPR,42.98469161987305,-7.590075492858887,Privada,Non,Non
27601509,EPAPU Albeiros,Parque da Milagrosa s/n,Lugo,Lugo,27003,982828106,EPAPU,43.02240753173828,-7.56232213973999,Pública,Non,Si
